train_id,name,brand_name,category_name,item_description,price,item_condition_id,sale,shipping,supply_demand,img_score,img_url,price_url
10,Ujena White Cover-up Style T-shirt Dress,UjENA,"Clothing,Women,T-shirt","[{""dateSeen"":[""2016-07-11T01:41:47Z""],""sourceURLs"":[""http://www.ebay.com/itm/620415-483-New-Womens-Nike-Pro-Hyperwarm-Infinity-Training-Shirt-SIZE-SMALL-/391454317899?hash=item5b247edd4b:g:uJAAAOSw8vZXMoEk""],""value"":""620415 483 New Womens Nike Pro Hyperwarm Infinity Training Shirt SIZE SMALL in Clothing, Shoes & Accessories, Women's Clothing, Athletic Apparel | eBay""}]",95.2,0,0,0,1,0,"http://c.shld.net/rpx/i/s/pi/mp/37933/prod_3591040126?src=http%3A%2F%2Fwww.nishidaftari.com%2Fswim%2FP530-2.jpg&d=e52fd4157b5929185c1a9e7b2207a85e4926c835,http://c.shld.net/rpx/i/s/pi/mp/37933/prod_3601759926?src=http%3A%2F%2Fwww.nishidaftari.com%2Fswim%2Fsize-chart.jpg&d=c3bc9162de107cc4361fdf73ebf52268a605cb6d,http://c.shld.net/rpx/i/s/pi/mp/37933/prod_3591040226?src=http%3A%2F%2Fwww.nishidaftari.com%2Fswim%2FP530-0.jpg&d=9a21ef7c8114a4e9c1521d0bfed4f27f4cdf4e24,http://c.shld.net/rpx/i/s/pi/mp/37933/prod_3591040026?src=http%3A%2F%2Fwww.nishidaftari.com%2Fswim%2FP530-1.jpg&d=c0dc43fe9e9a4adf8349ea7fcf713d09997367ea","http://www.sears.com/content/pdp/products/pricing/v1/get/price/display/json?pid=000000000000000379330000000000000000P530P&pidType=3&priceMatch=Y&memberStatus=G&storeId=10153,http://www.sears.com/content/pdp/config/products/v1/products/000000000000000379330000000000000000P530P?site=sears"
11,J America J-america Adult Sport Lace Jersey Hooded Shirt - Oxford (s),J AMERICA,"Clothing,Women,Hoodie","[{""dateSeen"":[""2016-07-11T01:41:47Z""],""sourceURLs"":[""http://www.ebay.com/itm/620415-483-New-Womens-Nike-Pro-Hyperwarm-Infinity-Training-Shirt-SIZE-SMALL-/391454317899?hash=item5b247edd4b:g:uJAAAOSw8vZXMoEk""],""value"":""620415 483 New Womens Nike Pro Hyperwarm Infinity Training Shirt SIZE SMALL in Clothing, Shoes & Accessories, Women's Clothing, Athletic Apparel | eBay""}]",32.64,0,1,1,0,1,http://c.shld.net/rpx/i/s/pi/mp/3793/prod_9361177825?src=http%3A%2F%2Fgroceryeshop.us%2FImages%2FDoba%2F27238988.jpg&d=1c33f4e0b25c9648088624f2ab643406a33dda8c,"http://www.sears.com/content/pdp/config/products/v1/products/SPM10687913225?site=sears,http://www.sears.com/content/pdp/products/pricing/v1/get/price/display/json?pid=SPM10687913225&pidType=0&priceMatch=Y&memberStatus=G&storeId=10153"
12,J America J-america Adult Sport Lace Jersey Hooded Shirt - Oxford (s),J AMERICA,"Clothing,Women,Hoodie","[{""dateSeen"":[""2016-07-11T01:41:47Z""],""sourceURLs"":[""http://www.ebay.com/itm/620415-483-New-Womens-Nike-Pro-Hyperwarm-Infinity-Training-Shirt-SIZE-SMALL-/391454317899?hash=item5b247edd4b:g:uJAAAOSw8vZXMoEk""],""value"":""620415 483 New Womens Nike Pro Hyperwarm Infinity Training Shirt SIZE SMALL in Clothing, Shoes & Accessories, Women's Clothing, Athletic Apparel | eBay""}]",35.92,0,0,1,0,0,http://c.shld.net/rpx/i/s/pi/mp/3793/prod_9361177825?src=http%3A%2F%2Fgroceryeshop.us%2FImages%2FDoba%2F27238988.jpg&d=1c33f4e0b25c9648088624f2ab643406a33dda8c,"http://www.sears.com/content/pdp/config/products/v1/products/SPM10687913225?site=sears,http://www.sears.com/content/pdp/products/pricing/v1/get/price/display/json?pid=SPM10687913225&pidType=0&priceMatch=Y&memberStatus=G&storeId=10153"
13,Bgood Boys Fleece Long Sleeve Jacket Coat Hooded Kids Shirt Outwear,Bgood,"Clothing,Women,Hoodie","[{""dateSeen"":[""2016-07-11T01:41:47Z""],""sourceURLs"":[""http://www.ebay.com/itm/620415-483-New-Womens-Nike-Pro-Hyperwarm-Infinity-Training-Shirt-SIZE-SMALL-/391454317899?hash=item5b247edd4b:g:uJAAAOSw8vZXMoEk""],""value"":""620415 483 New Womens Nike Pro Hyperwarm Infinity Training Shirt SIZE SMALL in Clothing, Shoes & Accessories, Women's Clothing, Athletic Apparel | eBay""}]",38.65,0,1,0,0,1,"http://c.shld.net/rpx/i/s/pi/mp/38936/prod_8071428025?src=http%3A%2F%2Fimg.banggood.com%2Fimages%2F2014%2Flinshaojia%2F10%2FSKU165192%2F2.jpg&d=9eefd4b731facc32286fc33e589c514e03e70425,http://c.shld.net/rpx/i/s/pi/mp/38936/prod_8071427925?src=http%3A%2F%2Fimg.banggood.com%2Fimages%2F2014%2Flinshaojia%2F10%2FSKU165192%2F12.jpg&d=c55c9f8feb77f7bc8923ab4f139ab8357ac4486a,http://c.shld.net/rpx/i/s/pi/mp/38936/prod_8071428225?src=http%3A%2F%2Fimg.banggood.com%2Fimages%2F2014%2Flinshaojia%2F10%2FSKU165192%2F4.jpg&d=a13fbb0a6559d779e98c2bc52bcabdfea4cdeb6c,http://c.shld.net/rpx/i/s/pi/mp/38936/prod_8071428125?src=http%3A%2F%2Fimg.banggood.com%2Fimages%2F2014%2Flinshaojia%2F10%2FSKU165192%2F3.jpg&d=4c2666984d9d501d38075622d7a45e48271d1749,http://c.shld.net/rpx/i/s/pi/mp/38936/prod_8071428325?src=http%3A%2F%2Fimg.banggood.com%2Fimages%2F2014%2Flinshaojia%2F10%2FSKU165192%2F15.jpg&d=f5a20d46f3bca9e945959337e03d00bfd92852cc","http://www.sears.com/content/pdp/config/products/v1/products/SPM9957842025?site=sears,http://www.sears.com/content/pdp/products/pricing/v1/get/price/display/json?pid=SPM9957842025&pidType=0&priceMatch=Y&memberStatus=G&storeId=10153"
14,Bgood Boys Fleece Long Sleeve Jacket Coat Hooded Kids Shirt Outwear,Bgood,"Clothing,Women,Hoodie","[{""dateSeen"":[""2016-07-11T01:41:47Z""],""sourceURLs"":[""http://www.ebay.com/itm/620415-483-New-Womens-Nike-Pro-Hyperwarm-Infinity-Training-Shirt-SIZE-SMALL-/391454317899?hash=item5b247edd4b:g:uJAAAOSw8vZXMoEk""],""value"":""620415 483 New Womens Nike Pro Hyperwarm Infinity Training Shirt SIZE SMALL in Clothing, Shoes & Accessories, Women's Clothing, Athletic Apparel | eBay""}]",42.94,0,0,1,1,0,"http://c.shld.net/rpx/i/s/pi/mp/38936/prod_8071428025?src=http%3A%2F%2Fimg.banggood.com%2Fimages%2F2014%2Flinshaojia%2F10%2FSKU165192%2F2.jpg&d=9eefd4b731facc32286fc33e589c514e03e70425,http://c.shld.net/rpx/i/s/pi/mp/38936/prod_8071427925?src=http%3A%2F%2Fimg.banggood.com%2Fimages%2F2014%2Flinshaojia%2F10%2FSKU165192%2F12.jpg&d=c55c9f8feb77f7bc8923ab4f139ab8357ac4486a,http://c.shld.net/rpx/i/s/pi/mp/38936/prod_8071428225?src=http%3A%2F%2Fimg.banggood.com%2Fimages%2F2014%2Flinshaojia%2F10%2FSKU165192%2F4.jpg&d=a13fbb0a6559d779e98c2bc52bcabdfea4cdeb6c,http://c.shld.net/rpx/i/s/pi/mp/38936/prod_8071428125?src=http%3A%2F%2Fimg.banggood.com%2Fimages%2F2014%2Flinshaojia%2F10%2FSKU165192%2F3.jpg&d=4c2666984d9d501d38075622d7a45e48271d1749,http://c.shld.net/rpx/i/s/pi/mp/38936/prod_8071428325?src=http%3A%2F%2Fimg.banggood.com%2Fimages%2F2014%2Flinshaojia%2F10%2FSKU165192%2F15.jpg&d=f5a20d46f3bca9e945959337e03d00bfd92852cc","http://www.sears.com/content/pdp/config/products/v1/products/SPM9957842025?site=sears,http://www.sears.com/content/pdp/products/pricing/v1/get/price/display/json?pid=SPM9957842025&pidType=0&priceMatch=Y&memberStatus=G&storeId=10153"
15,Nicki Minaj Women's Plus Velour Zip Front Hoodie,Nicki Minaj,"Clothing,Women,Hoodie","[{""dateSeen"":[""2016-07-11T01:41:47Z""],""sourceURLs"":[""http://www.ebay.com/itm/620415-483-New-Womens-Nike-Pro-Hyperwarm-Infinity-Training-Shirt-SIZE-SMALL-/391454317899?hash=item5b247edd4b:g:uJAAAOSw8vZXMoEk""],""value"":""620415 483 New Womens Nike Pro Hyperwarm Infinity Training Shirt SIZE SMALL in Clothing, Shoes & Accessories, Women's Clothing, Athletic Apparel | eBay""}]",27.99,1,0,1,1,0,http://c.shld.net/rpx/i/s/pi/mp/3793/prod_9361177825?src=http%3A%2F%2Fgroceryeshop.us%2FImages%2FDoba%2F27238988.jpg&d=1c33f4e0b25c9648088624f2ab643406a33dda8c,"http://www.sears.com/content/pdp/products/pricing/v1/get/price/display/json?pid=042VA85389012P&pidType=3&priceMatch=Y&memberStatus=G&storeId=10153,http://www.kmart.com/content/pdp/config/products/v1/products/042VA85389012P?site=kmart&mfgPartNum=NMD15-2520&brand=Nicki Minaj,http://www.kmart.com/content/pdp/products/pricing/v1/get/price/display/json?pid=042VA85389012P&pidType=3&priceMatch=Y&storeId=10151&mfgPartNum=NMD15-2520&brand=Nicki Minaj,http://www.sears.com/content/pdp/config/products/v1/products/042VA85389012P?site=sears"
16,Nicki Minaj Women's Plus Velour Zip Front Hoodie,Nicki Minaj,"Clothing,Women,Hoodie","[{""dateSeen"":[""2016-07-11T01:41:47Z""],""sourceURLs"":[""http://www.ebay.com/itm/620415-483-New-Womens-Nike-Pro-Hyperwarm-Infinity-Training-Shirt-SIZE-SMALL-/391454317899?hash=item5b247edd4b:g:uJAAAOSw8vZXMoEk""],""value"":""620415 483 New Womens Nike Pro Hyperwarm Infinity Training Shirt SIZE SMALL in Clothing, Shoes & Accessories, Women's Clothing, Athletic Apparel | eBay""}]",14.99,1,1,0,0,1,"http://c.shld.net/rpx/i/s/pi/mp/38936/prod_8071428025?src=http%3A%2F%2Fimg.banggood.com%2Fimages%2F2014%2Flinshaojia%2F10%2FSKU165192%2F2.jpg&d=9eefd4b731facc32286fc33e589c514e03e70425,http://c.shld.net/rpx/i/s/pi/mp/38936/prod_8071427925?src=http%3A%2F%2Fimg.banggood.com%2Fimages%2F2014%2Flinshaojia%2F10%2FSKU165192%2F12.jpg&d=c55c9f8feb77f7bc8923ab4f139ab8357ac4486a,http://c.shld.net/rpx/i/s/pi/mp/38936/prod_8071428225?src=http%3A%2F%2Fimg.banggood.com%2Fimages%2F2014%2Flinshaojia%2F10%2FSKU165192%2F4.jpg&d=a13fbb0a6559d779e98c2bc52bcabdfea4cdeb6c,http://c.shld.net/rpx/i/s/pi/mp/38936/prod_8071428125?src=http%3A%2F%2Fimg.banggood.com%2Fimages%2F2014%2Flinshaojia%2F10%2FSKU165192%2F3.jpg&d=4c2666984d9d501d38075622d7a45e48271d1749,http://c.shld.net/rpx/i/s/pi/mp/38936/prod_8071428325?src=http%3A%2F%2Fimg.banggood.com%2Fimages%2F2014%2Flinshaojia%2F10%2FSKU165192%2F15.jpg&d=f5a20d46f3bca9e945959337e03d00bfd92852cc","http://www.sears.com/content/pdp/products/pricing/v1/get/price/display/json?pid=042VA85389012P&pidType=3&priceMatch=Y&memberStatus=G&storeId=10153,http://www.kmart.com/content/pdp/config/products/v1/products/042VA85389012P?site=kmart&mfgPartNum=NMD15-2520&brand=Nicki Minaj,http://www.kmart.com/content/pdp/products/pricing/v1/get/price/display/json?pid=042VA85389012P&pidType=3&priceMatch=Y&storeId=10151&mfgPartNum=NMD15-2520&brand=Nicki Minaj,http://www.sears.com/content/pdp/config/products/v1/products/042VA85389012P?site=sears"
17,Nicki Minaj Women's Plus Velour Zip Front Hoodie,Nicki Minaj,"Clothing,Women,Hoodie","[{""dateSeen"":[""2016-07-11T01:41:47Z""],""sourceURLs"":[""http://www.ebay.com/itm/620415-483-New-Womens-Nike-Pro-Hyperwarm-Infinity-Training-Shirt-SIZE-SMALL-/391454317899?hash=item5b247edd4b:g:uJAAAOSw8vZXMoEk""],""value"":""620415 483 New Womens Nike Pro Hyperwarm Infinity Training Shirt SIZE SMALL in Clothing, Shoes & Accessories, Women's Clothing, Athletic Apparel | eBay""}]",27.99,1,0,1,1,0,"http://c.shld.net/rpx/i/s/pi/mp/38936/prod_8071428025?src=http%3A%2F%2Fimg.banggood.com%2Fimages%2F2014%2Flinshaojia%2F10%2FSKU165192%2F2.jpg&d=9eefd4b731facc32286fc33e589c514e03e70425,http://c.shld.net/rpx/i/s/pi/mp/38936/prod_8071427925?src=http%3A%2F%2Fimg.banggood.com%2Fimages%2F2014%2Flinshaojia%2F10%2FSKU165192%2F12.jpg&d=c55c9f8feb77f7bc8923ab4f139ab8357ac4486a,http://c.shld.net/rpx/i/s/pi/mp/38936/prod_8071428225?src=http%3A%2F%2Fimg.banggood.com%2Fimages%2F2014%2Flinshaojia%2F10%2FSKU165192%2F4.jpg&d=a13fbb0a6559d779e98c2bc52bcabdfea4cdeb6c,http://c.shld.net/rpx/i/s/pi/mp/38936/prod_8071428125?src=http%3A%2F%2Fimg.banggood.com%2Fimages%2F2014%2Flinshaojia%2F10%2FSKU165192%2F3.jpg&d=4c2666984d9d501d38075622d7a45e48271d1749,http://c.shld.net/rpx/i/s/pi/mp/38936/prod_8071428325?src=http%3A%2F%2Fimg.banggood.com%2Fimages%2F2014%2Flinshaojia%2F10%2FSKU165192%2F15.jpg&d=f5a20d46f3bca9e945959337e03d00bfd92852cc","http://www.sears.com/content/pdp/products/pricing/v1/get/price/display/json?pid=042VA85389012P&pidType=3&priceMatch=Y&memberStatus=G&storeId=10153,http://www.kmart.com/content/pdp/config/products/v1/products/042VA85389012P?site=kmart&mfgPartNum=NMD15-2520&brand=Nicki Minaj,http://www.kmart.com/content/pdp/products/pricing/v1/get/price/display/json?pid=042VA85389012P&pidType=3&priceMatch=Y&storeId=10151&mfgPartNum=NMD15-2520&brand=Nicki Minaj,http://www.sears.com/content/pdp/config/products/v1/products/042VA85389012P?site=sears"
18,Les Miserables Les Miserables Romantic Historical Musical Movie Logo Adult Pull-over Hoodie,Les Miserables,"Clothing,Women,Hoodie","[{""dateSeen"":[""2016-07-11T01:41:47Z""],""sourceURLs"":[""http://www.ebay.com/itm/620415-483-New-Womens-Nike-Pro-Hyperwarm-Infinity-Training-Shirt-SIZE-SMALL-/391454317899?hash=item5b247edd4b:g:uJAAAOSw8vZXMoEk""],""value"":""620415 483 New Womens Nike Pro Hyperwarm Infinity Training Shirt SIZE SMALL in Clothing, Shoes & Accessories, Women's Clothing, Athletic Apparel | eBay""}]",56.83,0,0,1,1,0,"http://c.shld.net/rpx/i/s/pi/mp/27954/prod_8573998731?src=http%3A%2F%2Fergodeapps.com%2Fnonmedia%2FABS%2FB00LWEN6QS.jpg&d=4675d133980d46b1524976e83e6e3a7d5e253038,http://c.shld.net/rpx/i/s/pi/mp/27954/prod_8425883521?src=http%3A%2F%2Fgroceryeshop.us%2FImages%2FABS%2FB00LWEN6QS.jpg&d=37ecfc386d5c9799577251541020c76e9b562779","http://www.sears.com/content/pdp/products/pricing/v1/get/price/display/json?pid=SPM3735528521&pidType=0&priceMatch=Y&memberStatus=G&storeId=10153,http://www.sears.com/content/pdp/config/products/v1/products/SPM3735528521?site=sears"
19,Les Miserables Les Miserables Romantic Historical Musical Movie Logo Adult Pull-over Hoodie,Les Miserables,"Clothing,Women,Hoodie","[{""dateSeen"":[""2016-07-11T01:41:47Z""],""sourceURLs"":[""http://www.ebay.com/itm/620415-483-New-Womens-Nike-Pro-Hyperwarm-Infinity-Training-Shirt-SIZE-SMALL-/391454317899?hash=item5b247edd4b:g:uJAAAOSw8vZXMoEk""],""value"":""620415 483 New Womens Nike Pro Hyperwarm Infinity Training Shirt SIZE SMALL in Clothing, Shoes & Accessories, Women's Clothing, Athletic Apparel | eBay""}]",50.74,0,1,0,1,0,"http://c.shld.net/rpx/i/s/pi/mp/27954/prod_8573998731?src=http%3A%2F%2Fergodeapps.com%2Fnonmedia%2FABS%2FB00LWEN6QS.jpg&d=4675d133980d46b1524976e83e6e3a7d5e253038,http://c.shld.net/rpx/i/s/pi/mp/27954/prod_8425883521?src=http%3A%2F%2Fgroceryeshop.us%2FImages%2FABS%2FB00LWEN6QS.jpg&d=37ecfc386d5c9799577251541020c76e9b562779","http://www.sears.com/content/pdp/products/pricing/v1/get/price/display/json?pid=SPM3735528521&pidType=0&priceMatch=Y&memberStatus=G&storeId=10153,http://www.sears.com/content/pdp/config/products/v1/products/SPM3735528521?site=sears"
20,Lifeguard Flg-755-r-l Womens Lifeguard Hoodie Sweatshirt Authentic Large Red,Lifeguard,"Clothing,Women,Hoodie","[{""dateSeen"":[""2016-07-11T01:41:47Z""],""sourceURLs"":[""http://www.ebay.com/itm/620415-483-New-Womens-Nike-Pro-Hyperwarm-Infinity-Training-Shirt-SIZE-SMALL-/391454317899?hash=item5b247edd4b:g:uJAAAOSw8vZXMoEk""],""value"":""620415 483 New Womens Nike Pro Hyperwarm Infinity Training Shirt SIZE SMALL in Clothing, Shoes & Accessories, Women's Clothing, Athletic Apparel | eBay""}]",74.42,0,0,1,1,0,http://c.shld.net/rpx/i/s/pi/mp/1363/prod_3088521903?src=http%3A%2F%2Fsite.unbeatablesale.com%2F%2FEB159%2Fpplr018.gif&d=4692005b26e7e90abf2186db1a548ad34e16fd4f,"http://www.sears.com/content/pdp/config/products/v1/products/SPM7540567503?site=sears,http://www.sears.com/content/pdp/products/pricing/v1/get/price/display/json?pid=SPM7540567503&pidType=0&priceMatch=Y&memberStatus=G&storeId=10153"
21,Lifeguard Flg-755-r-l Womens Lifeguard Hoodie Sweatshirt Authentic Large Red,Lifeguard,"Clothing,Women,Hoodie","[{""dateSeen"":[""2016-07-11T01:41:47Z""],""sourceURLs"":[""http://www.ebay.com/itm/620415-483-New-Womens-Nike-Pro-Hyperwarm-Infinity-Training-Shirt-SIZE-SMALL-/391454317899?hash=item5b247edd4b:g:uJAAAOSw8vZXMoEk""],""value"":""620415 483 New Womens Nike Pro Hyperwarm Infinity Training Shirt SIZE SMALL in Clothing, Shoes & Accessories, Women's Clothing, Athletic Apparel | eBay""}]",57.81,0,1,0,0,0,http://c.shld.net/rpx/i/s/pi/mp/1363/prod_3088521903?src=http%3A%2F%2Fsite.unbeatablesale.com%2F%2FEB159%2Fpplr018.gif&d=4692005b26e7e90abf2186db1a548ad34e16fd4f,"http://www.sears.com/content/pdp/config/products/v1/products/SPM7540567503?site=sears,http://www.sears.com/content/pdp/products/pricing/v1/get/price/display/json?pid=SPM7540567503&pidType=0&priceMatch=Y&memberStatus=G&storeId=10153"
22,Pink Queen??unisex Two-tone Patchwork Hoodies Sweatshirt With Side Pockets,Pink Queen,"Clothing,Women,Sweatshirt","[{""dateSeen"":[""2016-07-11T01:41:47Z""],""sourceURLs"":[""http://www.ebay.com/itm/620415-483-New-Womens-Nike-Pro-Hyperwarm-Infinity-Training-Shirt-SIZE-SMALL-/391454317899?hash=item5b247edd4b:g:uJAAAOSw8vZXMoEk""],""value"":""620415 483 New Womens Nike Pro Hyperwarm Infinity Training Shirt SIZE SMALL in Clothing, Shoes & Accessories, Women's Clothing, Athletic Apparel | eBay""}]",26.99,0,0,1,1,0,"http://ecx.images-amazon.com/images/I/41Mj2mva-SL._SR38,50_.jpg,http://ecx.images-amazon.com/images/I/41JV2MROWJL._SY445_QL70_.jpg,http://ecx.images-amazon.com/images/I/41JV2MROWJL._SR38,50_.jpg,http://ecx.images-amazon.com/images/I/312qi5JXuUL._SR38,50_.jpg","http://www.amazon.com/Pink-Queen-Two-tone-Patchwork-Sweatshirt/dp/B01ASO9QX4,http://www.amazon.com/Pink-Queen-Fashion-Thickening-Patchwork/dp/B01ASOAMJG,http://www.amazon.com/Pink-Queen-Fashion-Patchwork-Pockets/dp/B01ASOAOIU,http://www.amazon.com/Pink-Queen-Fashion-Thickening-Patchwork/dp/B01ASOAKW0,http://www.amazon.com/Pink-Queen-Womens-Patchwork-Hoodies/dp/B01ASOAQTM"
23,Pink Queen??unisex Two-tone Patchwork Hoodies Sweatshirt With Side Pockets,Pink Queen,"Clothing,Women,Sweatshirt","[{""dateSeen"":[""2016-07-11T01:41:47Z""],""sourceURLs"":[""http://www.ebay.com/itm/620415-483-New-Womens-Nike-Pro-Hyperwarm-Infinity-Training-Shirt-SIZE-SMALL-/391454317899?hash=item5b247edd4b:g:uJAAAOSw8vZXMoEk""],""value"":""620415 483 New Womens Nike Pro Hyperwarm Infinity Training Shirt SIZE SMALL in Clothing, Shoes & Accessories, Women's Clothing, Athletic Apparel | eBay""}]",17.99,0,1,0,0,1,"http://ecx.images-amazon.com/images/I/41Mj2mva-SL._SR38,50_.jpg,http://ecx.images-amazon.com/images/I/41JV2MROWJL._SY445_QL70_.jpg,http://ecx.images-amazon.com/images/I/41JV2MROWJL._SR38,50_.jpg,http://ecx.images-amazon.com/images/I/312qi5JXuUL._SR38,50_.jpg","http://www.amazon.com/Pink-Queen-Two-tone-Patchwork-Sweatshirt/dp/B01ASO9QX4,http://www.amazon.com/Pink-Queen-Fashion-Thickening-Patchwork/dp/B01ASOAMJG,http://www.amazon.com/Pink-Queen-Fashion-Patchwork-Pockets/dp/B01ASOAOIU,http://www.amazon.com/Pink-Queen-Fashion-Thickening-Patchwork/dp/B01ASOAKW0,http://www.amazon.com/Pink-Queen-Womens-Patchwork-Hoodies/dp/B01ASOAQTM"
24,Pink Queen®3d Digital Printed Cat Galaxy Lightening Pullover Sweatshirts,Pink Queen,"Clothing,Women,Sweatshirt","[{""dateSeen"":[""2016-07-11T01:41:47Z""],""sourceURLs"":[""http://www.ebay.com/itm/620415-483-New-Womens-Nike-Pro-Hyperwarm-Infinity-Training-Shirt-SIZE-SMALL-/391454317899?hash=item5b247edd4b:g:uJAAAOSw8vZXMoEk""],""value"":""620415 483 New Womens Nike Pro Hyperwarm Infinity Training Shirt SIZE SMALL in Clothing, Shoes & Accessories, Women's Clothing, Athletic Apparel | eBay""}]",23.39,0,1,0,0,1,"http://ecx.images-amazon.com/images/I/41Mj2mva-SL._SR38,50_.jpg,http://ecx.images-amazon.com/images/I/41guQdfR9NL._SR38,50_.jpg,http://ecx.images-amazon.com/images/I/41guQdfR9NL._SY445_QL70_.jpg,http://ecx.images-amazon.com/images/I/312qi5JXuUL._SR38,50_.jpg","http://www.amazon.com/Pink-Queen-Womens-Squirrel-Hoodies/dp/B01A6CPI4Y,http://www.amazon.com/Pink-Queen-Squirrel-Pullover-Sweatshirts/dp/B01A6CPFBK,http://www.amazon.com/Pink-Queen-Squirrel-Multicolor-Sweatshirts/dp/B01A6CPGUU"
25,Pink Queen®3d Digital Printed Cat Galaxy Lightening Pullover Sweatshirts,Pink Queen,"Clothing,Women,Sweatshirt","[{""dateSeen"":[""2016-07-11T01:41:47Z""],""sourceURLs"":[""http://www.ebay.com/itm/620415-483-New-Womens-Nike-Pro-Hyperwarm-Infinity-Training-Shirt-SIZE-SMALL-/391454317899?hash=item5b247edd4b:g:uJAAAOSw8vZXMoEk""],""value"":""620415 483 New Womens Nike Pro Hyperwarm Infinity Training Shirt SIZE SMALL in Clothing, Shoes & Accessories, Women's Clothing, Athletic Apparel | eBay""}]",31.39,0,0,1,1,0,"http://ecx.images-amazon.com/images/I/41Mj2mva-SL._SR38,50_.jpg,http://ecx.images-amazon.com/images/I/41guQdfR9NL._SR38,50_.jpg,http://ecx.images-amazon.com/images/I/41guQdfR9NL._SY445_QL70_.jpg,http://ecx.images-amazon.com/images/I/312qi5JXuUL._SR38,50_.jpg","http://www.amazon.com/Pink-Queen-Womens-Squirrel-Hoodies/dp/B01A6CPI4Y,http://www.amazon.com/Pink-Queen-Squirrel-Pullover-Sweatshirts/dp/B01A6CPFBK,http://www.amazon.com/Pink-Queen-Squirrel-Multicolor-Sweatshirts/dp/B01A6CPGUU"
26,Aiko Terry Cloth Embroidered Sweatshirt,Aiko,"Clothing,Women,Sweatshirt","[{""dateSeen"":[""2016-07-11T01:41:47Z""],""sourceURLs"":[""http://www.ebay.com/itm/620415-483-New-Womens-Nike-Pro-Hyperwarm-Infinity-Training-Shirt-SIZE-SMALL-/391454317899?hash=item5b247edd4b:g:uJAAAOSw8vZXMoEk""],""value"":""620415 483 New Womens Nike Pro Hyperwarm Infinity Training Shirt SIZE SMALL in Clothing, Shoes & Accessories, Women's Clothing, Athletic Apparel | eBay""}]",198,0,0,1,1,0,"http://c.shld.net/rpx/i/s/pi/mp/4311/prod_9909495213?src=http%3A%2F%2Fd1n4l5ue04vu2w.cloudfront.net%2Fmedia%2FCTM5YNGdk2dzZH1uAYYYGpJ7ANOLTtij-14.jpg&d=592c41f79399e6a50296a5f0a018d5ec3854d360,http://c.shld.net/rpx/i/s/pi/mp/4311/prod_9840999113?src=http%3A%2F%2Fd1n4l5ue04vu2w.cloudfront.net%2Fmedia%2F9j8KchIrtqpGmn7rGHwBb8GIAO27QSWW-14.jpg&d=fbd0008827e9cd92d66161577344fa837ba56b05,http://c.shld.net/rpx/i/s/pi/mp/4311/prod_9940978713?src=https%3A%2F%2Fdl.dropboxusercontent.com%2Fs%2Fd6jvwy2ncmuib4f%2FBHFO%2520size%2520chart.png%3Fdl%3D0&d=c8517c64c2fd4b449e77ca7359e3b039ad21a258","http://www.sears.com/content/pdp/config/products/v1/products/0000000000000000431100000000000007999580P?site=sears,http://www.sears.com/content/pdp/products/pricing/v1/get/price/display/json?pid=0000000000000000431100000000000007999580P&pidType=3&priceMatch=Y&memberStatus=G&storeId=10153"
27,Aiko Terry Cloth Embroidered Sweatshirt,Aiko,"Clothing,Women,Sweatshirt","[{""dateSeen"":[""2016-07-11T01:41:47Z""],""sourceURLs"":[""http://www.ebay.com/itm/620415-483-New-Womens-Nike-Pro-Hyperwarm-Infinity-Training-Shirt-SIZE-SMALL-/391454317899?hash=item5b247edd4b:g:uJAAAOSw8vZXMoEk""],""value"":""620415 483 New Womens Nike Pro Hyperwarm Infinity Training Shirt SIZE SMALL in Clothing, Shoes & Accessories, Women's Clothing, Athletic Apparel | eBay""}]",73.99,0,1,0,0,1,"http://c.shld.net/rpx/i/s/pi/mp/4311/prod_9909495213?src=http%3A%2F%2Fd1n4l5ue04vu2w.cloudfront.net%2Fmedia%2FCTM5YNGdk2dzZH1uAYYYGpJ7ANOLTtij-14.jpg&d=592c41f79399e6a50296a5f0a018d5ec3854d360,http://c.shld.net/rpx/i/s/pi/mp/4311/prod_9840999113?src=http%3A%2F%2Fd1n4l5ue04vu2w.cloudfront.net%2Fmedia%2F9j8KchIrtqpGmn7rGHwBb8GIAO27QSWW-14.jpg&d=fbd0008827e9cd92d66161577344fa837ba56b05,http://c.shld.net/rpx/i/s/pi/mp/4311/prod_9940978713?src=https%3A%2F%2Fdl.dropboxusercontent.com%2Fs%2Fd6jvwy2ncmuib4f%2FBHFO%2520size%2520chart.png%3Fdl%3D0&d=c8517c64c2fd4b449e77ca7359e3b039ad21a258","http://www.sears.com/content/pdp/config/products/v1/products/0000000000000000431100000000000007999580P?site=sears,http://www.sears.com/content/pdp/products/pricing/v1/get/price/display/json?pid=0000000000000000431100000000000007999580P&pidType=3&priceMatch=Y&memberStatus=G&storeId=10153"
